location,date,vaccine,total_vaccinations
Czechia,2021-05-18,Moderna,408900
Czechia,2021-05-18,Oxford/AstraZeneca,455202
Czechia,2021-05-18,Pfizer/BioNTech,3441890
Czechia,2021-05-19,Johnson&Johnson,25925
Czechia,2021-05-19,Moderna,419080
Czechia,2021-05-19,Oxford/AstraZeneca,461674
Czechia,2021-05-19,Pfizer/BioNTech,3514633
Czechia,2021-05-20,Johnson&Johnson,27553
Czechia,2021-05-20,Moderna,429577
Czechia,2021-05-20,Oxford/AstraZeneca,468310
Czechia,2021-05-20,Pfizer/BioNTech,3595924
Czechia,2021-05-21,Johnson&Johnson,28977
Czechia,2021-05-21,Moderna,437506
Czechia,2021-05-21,Oxford/AstraZeneca,474034
Czechia,2021-05-21,Pfizer/BioNTech,3675184
Czechia,2021-05-22,Johnson&Johnson,29148
Czechia,2021-05-22,Moderna,439334
Czechia,2021-05-22,Oxford/AstraZeneca,475900
Czechia,2021-05-22,Pfizer/BioNTech,3714201
Czechia,2021-05-23,Johnson&Johnson,29153
Czechia,2021-05-23,Moderna,440235
Czechia,2021-05-23,Oxford/AstraZeneca,477338
Czechia,2021-05-23,Pfizer/BioNTech,3742942
Czechia,2021-05-24,Johnson&Johnson,30428
Czechia,2021-05-24,Moderna,448861
Czechia,2021-05-24,Oxford/AstraZeneca,483647
Czechia,2021-05-24,Pfizer/BioNTech,3805640
Czechia,2021-05-25,Johnson&Johnson,32208
Czechia,2021-05-25,Moderna,457591
Czechia,2021-05-25,Oxford/AstraZeneca,494719
Czechia,2021-05-25,Pfizer/BioNTech,3869253
Czechia,2021-05-26,Johnson&Johnson,34118
Czechia,2021-05-26,Moderna,467482
Czechia,2021-05-26,Oxford/AstraZeneca,505589
Czechia,2021-05-26,Pfizer/BioNTech,3949267
Czechia,2021-05-27,Johnson&Johnson,36232
Czechia,2021-05-27,Moderna,477483
Czechia,2021-05-27,Oxford/AstraZeneca,515081
Czechia,2021-05-27,Pfizer/BioNTech,4033566
Czechia,2021-05-28,Johnson&Johnson,38330
Czechia,2021-05-28,Moderna,487327
Czechia,2021-05-28,Oxford/AstraZeneca,524323
Czechia,2021-05-28,Pfizer/BioNTech,4117799
Czechia,2021-05-29,Johnson&Johnson,38468
Czechia,2021-05-29,Moderna,489912
Czechia,2021-05-29,Oxford/AstraZeneca,526759
Czechia,2021-05-29,Pfizer/BioNTech,4158419
Czechia,2021-05-30,Johnson&Johnson,38469
Czechia,2021-05-30,Moderna,490907
Czechia,2021-05-30,Oxford/AstraZeneca,529344
Czechia,2021-05-30,Pfizer/BioNTech,4191349
Czechia,2021-05-31,Johnson&Johnson,40312
Czechia,2021-05-31,Moderna,499173
Czechia,2021-05-31,Oxford/AstraZeneca,537572
Czechia,2021-05-31,Pfizer/BioNTech,4273585
Czechia,2021-06-01,Johnson&Johnson,42556
Czechia,2021-06-01,Moderna,509074
Czechia,2021-06-01,Oxford/AstraZeneca,549252
Czechia,2021-06-01,Pfizer/BioNTech,4353895
Czechia,2021-06-02,Johnson&Johnson,45017
Czechia,2021-06-02,Moderna,518236
Czechia,2021-06-02,Oxford/AstraZeneca,560747
Czechia,2021-06-02,Pfizer/BioNTech,4444382
Czechia,2021-06-03,Johnson&Johnson,47814
Czechia,2021-06-03,Moderna,527582
Czechia,2021-06-03,Oxford/AstraZeneca,572589
Czechia,2021-06-03,Pfizer/BioNTech,4535161
Czechia,2021-06-04,Johnson&Johnson,51053
Czechia,2021-06-04,Moderna,536638
Czechia,2021-06-04,Oxford/AstraZeneca,583080
Czechia,2021-06-04,Pfizer/BioNTech,4628660
Czechia,2021-06-05,Johnson&Johnson,51172
Czechia,2021-06-05,Moderna,537485
Czechia,2021-06-05,Oxford/AstraZeneca,585097
Czechia,2021-06-05,Pfizer/BioNTech,4678032
Czechia,2021-06-06,Johnson&Johnson,51238
Czechia,2021-06-06,Moderna,538002
Czechia,2021-06-06,Oxford/AstraZeneca,586010
Czechia,2021-06-06,Pfizer/BioNTech,4718255
Czechia,2021-06-07,Johnson&Johnson,54349
Czechia,2021-06-07,Moderna,545580
Czechia,2021-06-07,Oxford/AstraZeneca,594762
Czechia,2021-06-07,Pfizer/BioNTech,4813989
Czechia,2021-06-08,Johnson&Johnson,57393
Czechia,2021-06-08,Moderna,553626
Czechia,2021-06-08,Oxford/AstraZeneca,605208
Czechia,2021-06-08,Pfizer/BioNTech,4907423
Czechia,2021-06-09,Johnson&Johnson,60952
Czechia,2021-06-09,Moderna,562910
Czechia,2021-06-09,Oxford/AstraZeneca,615670
Czechia,2021-06-09,Pfizer/BioNTech,5002348
Czechia,2021-06-10,Johnson&Johnson,64018
Czechia,2021-06-10,Moderna,572596
Czechia,2021-06-10,Oxford/AstraZeneca,626401
Czechia,2021-06-10,Pfizer/BioNTech,5098721
Czechia,2021-06-11,Johnson&Johnson,67138
Czechia,2021-06-11,Moderna,581420
Czechia,2021-06-11,Oxford/AstraZeneca,634938
Czechia,2021-06-11,Pfizer/BioNTech,5195576
Czechia,2021-06-12,Johnson&Johnson,67232
Czechia,2021-06-12,Moderna,582338
Czechia,2021-06-12,Oxford/AstraZeneca,636294
Czechia,2021-06-12,Pfizer/BioNTech,5245415
Czechia,2021-06-13,Johnson&Johnson,67285
Czechia,2021-06-13,Moderna,582781
Czechia,2021-06-13,Oxford/AstraZeneca,636469
Czechia,2021-06-13,Pfizer/BioNTech,5286707
Czechia,2021-06-14,Johnson&Johnson,69616
Czechia,2021-06-14,Moderna,590729
Czechia,2021-06-14,Oxford/AstraZeneca,643914
Czechia,2021-06-14,Pfizer/BioNTech,5383098
Czechia,2021-06-15,Johnson&Johnson,71759
Czechia,2021-06-15,Moderna,601030
Czechia,2021-06-15,Oxford/AstraZeneca,652668
Czechia,2021-06-15,Pfizer/BioNTech,5475802
Czechia,2021-06-16,Johnson&Johnson,74266
Czechia,2021-06-16,Moderna,610258
Czechia,2021-06-16,Oxford/AstraZeneca,661127
Czechia,2021-06-16,Pfizer/BioNTech,5573088
Czechia,2021-06-17,Johnson&Johnson,76435
Czechia,2021-06-17,Moderna,618025
Czechia,2021-06-17,Oxford/AstraZeneca,669156
Czechia,2021-06-17,Pfizer/BioNTech,5674446
Czechia,2021-06-18,Johnson&Johnson,78457
Czechia,2021-06-18,Moderna,625856
Czechia,2021-06-18,Oxford/AstraZeneca,674856
Czechia,2021-06-18,Pfizer/BioNTech,5777971
Czechia,2021-06-19,Johnson&Johnson,78480
Czechia,2021-06-19,Moderna,627054
Czechia,2021-06-19,Oxford/AstraZeneca,675450
Czechia,2021-06-19,Pfizer/BioNTech,5826691
Czechia,2021-06-20,Johnson&Johnson,78517
Czechia,2021-06-20,Moderna,628324
Czechia,2021-06-20,Oxford/AstraZeneca,675544
Czechia,2021-06-20,Pfizer/BioNTech,5866061
Czechia,2021-06-21,Johnson&Johnson,79936
Czechia,2021-06-21,Moderna,637429
Czechia,2021-06-21,Oxford/AstraZeneca,681896
Czechia,2021-06-21,Pfizer/BioNTech,5957652
Czechia,2021-06-22,Johnson&Johnson,81527
Czechia,2021-06-22,Moderna,646797
Czechia,2021-06-22,Oxford/AstraZeneca,690445
Czechia,2021-06-22,Pfizer/BioNTech,6049892
Czechia,2021-06-23,Johnson&Johnson,83316
Czechia,2021-06-23,Moderna,657606
Czechia,2021-06-23,Oxford/AstraZeneca,698805
Czechia,2021-06-23,Pfizer/BioNTech,6142297
Czechia,2021-06-24,Johnson&Johnson,85112
Czechia,2021-06-24,Moderna,667381
Czechia,2021-06-24,Oxford/AstraZeneca,706919
Czechia,2021-06-24,Pfizer/BioNTech,6239546
Czechia,2021-06-25,Johnson&Johnson,86778
Czechia,2021-06-25,Moderna,676263
Czechia,2021-06-25,Oxford/AstraZeneca,712886
Czechia,2021-06-25,Pfizer/BioNTech,6337205
Czechia,2021-06-26,Johnson&Johnson,86806
Czechia,2021-06-26,Moderna,677717
Czechia,2021-06-26,Oxford/AstraZeneca,714477
Czechia,2021-06-26,Pfizer/BioNTech,6384052
Czechia,2021-06-27,Johnson&Johnson,86812
Czechia,2021-06-27,Moderna,678787
Czechia,2021-06-27,Oxford/AstraZeneca,714612
Czechia,2021-06-27,Pfizer/BioNTech,6422940
Czechia,2021-06-28,Johnson&Johnson,88030
Czechia,2021-06-28,Moderna,687374
Czechia,2021-06-28,Oxford/AstraZeneca,721434
Czechia,2021-06-28,Pfizer/BioNTech,6516493
Czechia,2021-06-29,Johnson&Johnson,89386
Czechia,2021-06-29,Moderna,697082
Czechia,2021-06-29,Oxford/AstraZeneca,730815
Czechia,2021-06-29,Pfizer/BioNTech,6601958
Denmark,2021-01-08,Pfizer/BioNTech,112341
Denmark,2021-01-15,Moderna,1104
Denmark,2021-01-15,Pfizer/BioNTech,166500
Denmark,2021-01-22,Moderna,2691
Denmark,2021-01-22,Pfizer/BioNTech,204759
Denmark,2021-01-29,Moderna,2697
Denmark,2021-01-29,Pfizer/BioNTech,270354
Denmark,2021-02-05,Moderna,6078
Denmark,2021-02-05,Pfizer/BioNTech,329767
Denmark,2021-02-12,Moderna,12810
Denmark,2021-02-12,Oxford/AstraZeneca,16210
Denmark,2021-02-12,Pfizer/BioNTech,374780
Denmark,2021-02-19,Moderna,14895
Denmark,2021-02-19,Oxford/AstraZeneca,40347
Denmark,2021-02-19,Pfizer/BioNTech,440503
Denmark,2021-02-26,Moderna,16557
Denmark,2021-02-26,Oxford/AstraZeneca,84890
Denmark,2021-02-26,Pfizer/BioNTech,514111
Denmark,2021-03-05,Moderna,26121
Denmark,2021-03-05,Oxford/AstraZeneca,132549
Denmark,2021-03-05,Pfizer/BioNTech,586959
Denmark,2021-03-12,Moderna,37025
Denmark,2021-03-12,Oxford/AstraZeneca,150690
Denmark,2021-03-12,Pfizer/BioNTech,660116
Denmark,2021-03-19,Moderna,49531
Denmark,2021-03-19,Oxford/AstraZeneca,150710
Denmark,2021-03-19,Pfizer/BioNTech,756396
Denmark,2021-03-26,Moderna,57910
Denmark,2021-03-26,Oxford/AstraZeneca,150738
Denmark,2021-03-26,Pfizer/BioNTech,854809
Denmark,2021-04-02,Moderna,78045
Denmark,2021-04-02,Oxford/AstraZeneca,150773
Denmark,2021-04-02,Pfizer/BioNTech,961313
Denmark,2021-04-09,Moderna,96786
Denmark,2021-04-09,Oxford/AstraZeneca,150849
Denmark,2021-04-09,Pfizer/BioNTech,1092754
Denmark,2021-04-16,Moderna,117496
Denmark,2021-04-16,Oxford/AstraZeneca,150917
Denmark,2021-04-16,Pfizer/BioNTech,1317608
Denmark,2021-04-23,Moderna,129490
Denmark,2021-04-23,Oxford/AstraZeneca,151010
Denmark,2021-04-23,Pfizer/BioNTech,1530297
Denmark,2021-04-30,Moderna,155121
Denmark,2021-04-30,Oxford/AstraZeneca,151118
Denmark,2021-04-30,Pfizer/BioNTech,1742245
Denmark,2021-05-07,Moderna,190419
Denmark,2021-05-07,Oxford/AstraZeneca,151250
Denmark,2021-05-07,Pfizer/BioNTech,2043669
Denmark,2021-05-14,Moderna,226056
Denmark,2021-05-14,Oxford/AstraZeneca,151401
Denmark,2021-05-14,Pfizer/BioNTech,2340052
Denmark,2021-05-21,Johnson&Johnson,95
Denmark,2021-05-21,Moderna,271182
Denmark,2021-05-21,Oxford/AstraZeneca,151547
Denmark,2021-05-21,Pfizer/BioNTech,2647029
Denmark,2021-05-28,Johnson&Johnson,1041
Denmark,2021-05-28,Moderna,302750
Denmark,2021-05-28,Oxford/AstraZeneca,151690
Denmark,2021-05-28,Pfizer/BioNTech,2940226
Denmark,2021-06-04,Johnson&Johnson,11097
Denmark,2021-06-04,Moderna,334769
Denmark,2021-06-04,Oxford/AstraZeneca,151774
Denmark,2021-06-04,Pfizer/BioNTech,3251363
Denmark,2021-06-11,Johnson&Johnson,30786
Denmark,2021-06-11,Moderna,358994
Denmark,2021-06-11,Oxford/AstraZeneca,152047
Denmark,2021-06-11,Pfizer/BioNTech,3627298
Denmark,2021-06-18,Johnson&Johnson,40932
Denmark,2021-06-18,Moderna,397491
Denmark,2021-06-18,Oxford/AstraZeneca,152221
Denmark,2021-06-18,Pfizer/BioNTech,3994842
Denmark,2021-06-25,Johnson&Johnson,43438
Denmark,2021-06-25,Moderna,421596
Denmark,2021-06-25,Oxford/AstraZeneca,152261
Denmark,2021-06-25,Pfizer/BioNTech,4235309
Estonia,2021-01-01,Pfizer/BioNTech,2
Estonia,2021-01-08,Pfizer/BioNTech,82
Estonia,2021-01-15,Moderna,0
Estonia,2021-01-15,Pfizer/BioNTech,368
Estonia,2021-01-22,Moderna,4
Estonia,2021-01-22,Pfizer/BioNTech,5248
Estonia,2021-01-29,Moderna,6
Estonia,2021-01-29,Pfizer/BioNTech,21417
Estonia,2021-02-05,Moderna,30
Estonia,2021-02-05,Pfizer/BioNTech,36097
Estonia,2021-02-12,Moderna,49
Estonia,2021-02-12,Oxford/AstraZeneca,0
Estonia,2021-02-12,Pfizer/BioNTech,45746
Estonia,2021-02-19,Moderna,517
Estonia,2021-02-19,Oxford/AstraZeneca,402
Estonia,2021-02-19,Pfizer/BioNTech,53538
Estonia,2021-02-26,Moderna,1669
Estonia,2021-02-26,Oxford/AstraZeneca,1030
Estonia,2021-02-26,Pfizer/BioNTech,67814
Estonia,2021-03-05,Moderna,2610
Estonia,2021-03-05,Oxford/AstraZeneca,1888
Estonia,2021-03-05,Pfizer/BioNTech,86840
Estonia,2021-03-12,Moderna,4147
Estonia,2021-03-12,Oxford/AstraZeneca,2929
Estonia,2021-03-12,Pfizer/BioNTech,103137
Estonia,2021-03-19,Moderna,4733
Estonia,2021-03-19,Oxford/AstraZeneca,3782
Estonia,2021-03-19,Pfizer/BioNTech,111843
Estonia,2021-03-26,Moderna,5046
Estonia,2021-03-26,Oxford/AstraZeneca,4363
Estonia,2021-03-26,Pfizer/BioNTech,119756
Estonia,2021-04-02,Moderna,8415
Estonia,2021-04-02,Oxford/AstraZeneca,6585
Estonia,2021-04-02,Pfizer/BioNTech,132856
Estonia,2021-04-09,Moderna,14475
Estonia,2021-04-09,Oxford/AstraZeneca,12467
Estonia,2021-04-09,Pfizer/BioNTech,139610
Estonia,2021-04-16,Johnson&Johnson,0
Estonia,2021-04-16,Moderna,18987
Estonia,2021-04-16,Oxford/AstraZeneca,28135
Estonia,2021-04-16,Pfizer/BioNTech,143446
Estonia,2021-04-23,Johnson&Johnson,0
Estonia,2021-04-23,Moderna,23039
Estonia,2021-04-23,Oxford/AstraZeneca,47396
Estonia,2021-04-23,Pfizer/BioNTech,151164
Estonia,2021-04-30,Johnson&Johnson,35
Estonia,2021-04-30,Moderna,26403
Estonia,2021-04-30,Oxford/AstraZeneca,78215
Estonia,2021-04-30,Pfizer/BioNTech,170574
Estonia,2021-05-07,Johnson&Johnson,346
Estonia,2021-05-07,Moderna,30336
Estonia,2021-05-07,Oxford/AstraZeneca,112226
Estonia,2021-05-07,Pfizer/BioNTech,204131
Estonia,2021-05-14,Johnson&Johnson,1086
Estonia,2021-05-14,Moderna,33534
Estonia,2021-05-14,Oxford/AstraZeneca,125269
Estonia,2021-05-14,Pfizer/BioNTech,230799
Estonia,2021-05-21,Johnson&Johnson,5793
Estonia,2021-05-21,Moderna,39511
Estonia,2021-05-21,Oxford/AstraZeneca,130791
Estonia,2021-05-21,Pfizer/BioNTech,289527
Estonia,2021-05-28,Johnson&Johnson,11240
Estonia,2021-05-28,Moderna,46854
Estonia,2021-05-28,Oxford/AstraZeneca,134718
Estonia,2021-05-28,Pfizer/BioNTech,358597
Estonia,2021-06-04,Johnson&Johnson,15127
Estonia,2021-06-04,Moderna,54361
Estonia,2021-06-04,Oxford/AstraZeneca,149366
Estonia,2021-06-04,Pfizer/BioNTech,418938
Estonia,2021-06-11,Johnson&Johnson,16434
Estonia,2021-06-11,Moderna,65410
Estonia,2021-06-11,Oxford/AstraZeneca,184707
Estonia,2021-06-11,Pfizer/BioNTech,481611
Estonia,2021-06-18,Johnson&Johnson,19023
Estonia,2021-06-18,Moderna,79377
Estonia,2021-06-18,Oxford/AstraZeneca,206847
Estonia,2021-06-18,Pfizer/BioNTech,560585
Estonia,2021-06-25,Johnson&Johnson,20529
Estonia,2021-06-25,Moderna,86579
Estonia,2021-06-25,Oxford/AstraZeneca,221010
Estonia,2021-06-25,Pfizer/BioNTech,589173
Finland,2021-01-01,Johnson&Johnson,0
Finland,2021-01-01,Moderna,42
Finland,2021-01-01,Oxford/AstraZeneca,0
Finland,2021-01-01,Pfizer/BioNTech,25
Finland,2021-01-08,Johnson&Johnson,0
Finland,2021-01-08,Moderna,192
Finland,2021-01-08,Oxford/AstraZeneca,140
Finland,2021-01-08,Pfizer/BioNTech,20934
Finland,2021-01-15,Johnson&Johnson,0
Finland,2021-01-15,Moderna,238
Finland,2021-01-15,Oxford/AstraZeneca,203
Finland,2021-01-15,Pfizer/BioNTech,61284
Finland,2021-01-22,Johnson&Johnson,0
Finland,2021-01-22,Moderna,1163
Finland,2021-01-22,Oxford/AstraZeneca,277
Finland,2021-01-22,Pfizer/BioNTech,117602
Finland,2021-01-29,Johnson&Johnson,0
Finland,2021-01-29,Moderna,3797
Finland,2021-01-29,Oxford/AstraZeneca,285
Finland,2021-01-29,Pfizer/BioNTech,171050
Finland,2021-02-05,Johnson&Johnson,0
Finland,2021-02-05,Moderna,4678
Finland,2021-02-05,Oxford/AstraZeneca,290
Finland,2021-02-05,Pfizer/BioNTech,225457
Finland,2021-02-12,Johnson&Johnson,0
Finland,2021-02-12,Moderna,5946
Finland,2021-02-12,Oxford/AstraZeneca,4205
Finland,2021-02-12,Pfizer/BioNTech,276096
Finland,2021-02-19,Johnson&Johnson,0
Finland,2021-02-19,Moderna,10527
Finland,2021-02-19,Oxford/AstraZeneca,24256
Finland,2021-02-19,Pfizer/BioNTech,335868
Finland,2021-02-26,Johnson&Johnson,0
Finland,2021-02-26,Moderna,19063
Finland,2021-02-26,Oxford/AstraZeneca,55859
Finland,2021-02-26,Pfizer/BioNTech,398304
Finland,2021-03-05,Johnson&Johnson,0
Finland,2021-03-05,Moderna,26964
Finland,2021-03-05,Oxford/AstraZeneca,95954
Finland,2021-03-05,Pfizer/BioNTech,464091
Finland,2021-03-12,Johnson&Johnson,0
Finland,2021-03-12,Moderna,38598
Finland,2021-03-12,Oxford/AstraZeneca,140289
Finland,2021-03-12,Pfizer/BioNTech,532146
Finland,2021-03-19,Johnson&Johnson,0
Finland,2021-03-19,Moderna,42350
Finland,2021-03-19,Oxford/AstraZeneca,184749
Finland,2021-03-19,Pfizer/BioNTech,611241
Finland,2021-03-26,Johnson&Johnson,0
Finland,2021-03-26,Moderna,52339
Finland,2021-03-26,Oxford/AstraZeneca,184816
Finland,2021-03-26,Pfizer/BioNTech,711493
Finland,2021-04-02,Johnson&Johnson,0
Finland,2021-04-02,Moderna,69087
Finland,2021-04-02,Oxford/AstraZeneca,202080
Finland,2021-04-02,Pfizer/BioNTech,810777
Finland,2021-04-09,Johnson&Johnson,0
Finland,2021-04-09,Moderna,81064
Finland,2021-04-09,Oxford/AstraZeneca,242858
Finland,2021-04-09,Pfizer/BioNTech,931288
Finland,2021-04-16,Johnson&Johnson,0
Finland,2021-04-16,Moderna,103064
Finland,2021-04-16,Oxford/AstraZeneca,298482
Finland,2021-04-16,Pfizer/BioNTech,1087673
Finland,2021-04-23,Johnson&Johnson,0
Finland,2021-04-23,Moderna,117685
Finland,2021-04-23,Oxford/AstraZeneca,335578
Finland,2021-04-23,Pfizer/BioNTech,1256552
Finland,2021-04-30,Johnson&Johnson,0
Finland,2021-04-30,Moderna,137173
Finland,2021-04-30,Oxford/AstraZeneca,353096
Finland,2021-04-30,Pfizer/BioNTech,1433039
Finland,2021-05-07,Johnson&Johnson,0
Finland,2021-05-07,Moderna,161494
Finland,2021-05-07,Oxford/AstraZeneca,358949
Finland,2021-05-07,Pfizer/BioNTech,1646184
Finland,2021-05-14,Johnson&Johnson,0
Finland,2021-05-14,Moderna,187538
Finland,2021-05-14,Oxford/AstraZeneca,366697
Finland,2021-05-14,Pfizer/BioNTech,1848158
Finland,2021-05-21,Johnson&Johnson,0
Finland,2021-05-21,Moderna,221320
Finland,2021-05-21,Oxford/AstraZeneca,379763
Finland,2021-05-21,Pfizer/BioNTech,2077046
Finland,2021-05-28,Johnson&Johnson,0
Finland,2021-05-28,Moderna,257426
Finland,2021-05-28,Oxford/AstraZeneca,391434
Finland,2021-05-28,Pfizer/BioNTech,2301102
Finland,2021-06-04,Johnson&Johnson,0
Finland,2021-06-04,Moderna,295394
Finland,2021-06-04,Oxford/AstraZeneca,404044
Finland,2021-06-04,Pfizer/BioNTech,2547663
Finland,2021-06-11,Johnson&Johnson,0
Finland,2021-06-11,Moderna,324187
Finland,2021-06-11,Oxford/AstraZeneca,421131
Finland,2021-06-11,Pfizer/BioNTech,2843168
Finland,2021-06-18,Johnson&Johnson,0
Finland,2021-06-18,Moderna,356910
Finland,2021-06-18,Oxford/AstraZeneca,425163
Finland,2021-06-18,Pfizer/BioNTech,3145451
Finland,2021-06-25,Johnson&Johnson,0
Finland,2021-06-25,Moderna,381933
Finland,2021-06-25,Oxford/AstraZeneca,437952
Finland,2021-06-25,Pfizer/BioNTech,3361121
Finland,2021-06-29,Moderna,382275
Finland,2021-06-29,Oxford/AstraZeneca,439140
Finland,2021-06-29,Pfizer/BioNTech,3370056
France,2020-12-27,Pfizer/BioNTech,21
France,2020-12-28,Pfizer/BioNTech,92
France,2020-12-29,Pfizer/BioNTech,200
France,2020-12-30,Pfizer/BioNTech,323
France,2020-12-31,Pfizer/BioNTech,411
France,2021-01-01,Pfizer/BioNTech,486
France,2021-01-02,Pfizer/BioNTech,576
France,2021-01-03,Pfizer/BioNTech,668
France,2021-01-04,Pfizer/BioNTech,2150
France,2021-01-05,Pfizer/BioNTech,7571
France,2021-01-06,Pfizer/BioNTech,18901
France,2021-01-07,Pfizer/BioNTech,47573
France,2021-01-08,Pfizer/BioNTech,83907
France,2021-01-09,Pfizer/BioNTech,94859
France,2021-01-10,Pfizer/BioNTech,100507
France,2021-01-11,Pfizer/BioNTech,139665
France,2021-01-12,Pfizer/BioNTech,200736
France,2021-01-13,Pfizer/BioNTech,264724
France,2021-01-14,Moderna,153
France,2021-01-14,Pfizer/BioNTech,344682
France,2021-01-15,Moderna,371
France,2021-01-15,Pfizer/BioNTech,412115
France,2021-01-16,Moderna,557
France,2021-01-16,Pfizer/BioNTech,431786
France,2021-01-17,Moderna,560
France,2021-01-17,Pfizer/BioNTech,442311
France,2021-01-18,Moderna,3475
France,2021-01-18,Pfizer/BioNTech,524111
France,2021-01-19,Moderna,7994
France,2021-01-19,Pfizer/BioNTech,648415
France,2021-01-20,Moderna,12916
France,2021-01-20,Pfizer/BioNTech,779128
France,2021-01-21,Moderna,18044
France,2021-01-21,Pfizer/BioNTech,929840
France,2021-01-22,Moderna,22926
France,2021-01-22,Pfizer/BioNTech,1044112
France,2021-01-23,Moderna,24660
France,2021-01-23,Pfizer/BioNTech,1080323
France,2021-01-24,Moderna,24762
France,2021-01-24,Pfizer/BioNTech,1089631
France,2021-01-25,Moderna,28399
France,2021-01-25,Pfizer/BioNTech,1164186
France,2021-01-26,Moderna,32151
France,2021-01-26,Pfizer/BioNTech,1262514
France,2021-01-27,Moderna,35594
France,2021-01-27,Pfizer/BioNTech,1370463
France,2021-01-28,Moderna,39108
France,2021-01-28,Pfizer/BioNTech,1503881
France,2021-01-29,Moderna,42191
France,2021-01-29,Pfizer/BioNTech,1609108
France,2021-01-30,Moderna,43255
France,2021-01-30,Pfizer/BioNTech,1640975
France,2021-01-31,Moderna,43255
France,2021-01-31,Pfizer/BioNTech,1647536
France,2021-02-01,Moderna,46515
France,2021-02-01,Pfizer/BioNTech,1717060
France,2021-02-02,Moderna,50824
France,2021-02-02,Pfizer/BioNTech,1818102
France,2021-02-03,Moderna,55856
France,2021-02-03,Pfizer/BioNTech,1921119
France,2021-02-04,Moderna,60595
France,2021-02-04,Pfizer/BioNTech,2047159
France,2021-02-05,Moderna,65222
France,2021-02-05,Pfizer/BioNTech,2155118
France,2021-02-06,Moderna,67157
France,2021-02-06,Oxford/AstraZeneca,336
France,2021-02-06,Pfizer/BioNTech,2184611
France,2021-02-07,Moderna,67199
France,2021-02-07,Oxford/AstraZeneca,1684
France,2021-02-07,Pfizer/BioNTech,2193087
France,2021-02-08,Moderna,74635
France,2021-02-08,Oxford/AstraZeneca,4320
France,2021-02-08,Pfizer/BioNTech,2274965
France,2021-02-09,Moderna,82909
France,2021-02-09,Oxford/AstraZeneca,10969
France,2021-02-09,Pfizer/BioNTech,2397353
France,2021-02-10,Moderna,92101
France,2021-02-10,Oxford/AstraZeneca,20219
France,2021-02-10,Pfizer/BioNTech,2524994
France,2021-02-11,Moderna,102228
France,2021-02-11,Oxford/AstraZeneca,33592
France,2021-02-11,Pfizer/BioNTech,2686423
France,2021-02-12,Moderna,112282
France,2021-02-12,Oxford/AstraZeneca,46666
France,2021-02-12,Pfizer/BioNTech,2815464
France,2021-02-13,Moderna,115521
France,2021-02-13,Oxford/AstraZeneca,50186
France,2021-02-13,Pfizer/BioNTech,2849923
France,2021-02-14,Moderna,115817
France,2021-02-14,Oxford/AstraZeneca,51056
France,2021-02-14,Pfizer/BioNTech,2860547
France,2021-02-15,Moderna,122243
France,2021-02-15,Oxford/AstraZeneca,61199
France,2021-02-15,Pfizer/BioNTech,2957635
France,2021-02-16,Moderna,131034
France,2021-02-16,Oxford/AstraZeneca,73391
France,2021-02-16,Pfizer/BioNTech,3086677
France,2021-02-17,Moderna,139544
France,2021-02-17,Oxford/AstraZeneca,84218
France,2021-02-17,Pfizer/BioNTech,3219717
France,2021-02-18,Moderna,149876
France,2021-02-18,Oxford/AstraZeneca,98824
France,2021-02-18,Pfizer/BioNTech,3381505
France,2021-02-19,Moderna,159415
France,2021-02-19,Oxford/AstraZeneca,112965
France,2021-02-19,Pfizer/BioNTech,3512482
France,2021-02-20,Moderna,162688
France,2021-02-20,Oxford/AstraZeneca,116149
France,2021-02-20,Pfizer/BioNTech,3552482
France,2021-02-21,Moderna,162973
France,2021-02-21,Oxford/AstraZeneca,116697
France,2021-02-21,Pfizer/BioNTech,3560891
France,2021-02-22,Moderna,170230
France,2021-02-22,Oxford/AstraZeneca,125627
France,2021-02-22,Pfizer/BioNTech,3654444
France,2021-02-23,Moderna,178760
France,2021-02-23,Oxford/AstraZeneca,136754
France,2021-02-23,Pfizer/BioNTech,3771574
France,2021-02-24,Moderna,187000
France,2021-02-24,Oxford/AstraZeneca,150682
France,2021-02-24,Pfizer/BioNTech,3888750
France,2021-02-25,Moderna,195719
France,2021-02-25,Oxford/AstraZeneca,195162
France,2021-02-25,Pfizer/BioNTech,4025900
France,2021-02-26,Moderna,203042
France,2021-02-26,Oxford/AstraZeneca,256649
France,2021-02-26,Pfizer/BioNTech,4140045
France,2021-02-27,Moderna,205587
France,2021-02-27,Oxford/AstraZeneca,291179
France,2021-02-27,Pfizer/BioNTech,4176228
France,2021-02-28,Moderna,205715
France,2021-02-28,Oxford/AstraZeneca,293533
France,2021-02-28,Pfizer/BioNTech,4183850
France,2021-03-01,Moderna,214443
France,2021-03-01,Oxford/AstraZeneca,313517
France,2021-03-01,Pfizer/BioNTech,4271699
France,2021-03-02,Moderna,225481
France,2021-03-02,Oxford/AstraZeneca,351919
France,2021-03-02,Pfizer/BioNTech,4388002
France,2021-03-03,Moderna,236611
France,2021-03-03,Oxford/AstraZeneca,399964
France,2021-03-03,Pfizer/BioNTech,4508364
France,2021-03-04,Moderna,248655
France,2021-03-04,Oxford/AstraZeneca,481382
France,2021-03-04,Pfizer/BioNTech,4644677
France,2021-03-05,Moderna,260486
France,2021-03-05,Oxford/AstraZeneca,598721
